iter	Passed	Remaining
533	924	806
534	925	804
535	927	802
536	929	800
537	930	799
538	932	797
539	933	795
540	935	793
541	937	791
542	938	790
543	940	788
544	942	786
545	943	784
546	945	783
547	947	781
548	948	779
549	950	777
550	952	776
551	953	774
552	955	772
553	956	770
554	958	768
555	960	766
556	962	765
557	964	763
558	965	761
559	967	760
560	968	758
561	970	756
562	971	754
563	973	752
564	975	750
565	976	749
566	978	747
567	980	745
568	982	743
569	984	742
570	986	740
571	988	739
572	990	737
573	991	736
574	993	734
575	995	732
576	997	731
577	999	729
578	1002	729
579	1004	727
580	1006	725
581	1007	723
582	1009	722
583	1011	720
584	1012	718
585	1014	716
586	1016	715
587	1018	713
588	1019	711
589	1021	709
590	1022	707
591	1024	706
592	1026	704
593	1027	702
594	1029	700
595	1031	698
596	1032	697
597	1034	695
598	1036	693
599	1037	691
600	1039	690
601	1041	688
602	1042	686
603	1044	684
604	1045	682
605	1047	680
606	1049	679
607	1050	677
608	1052	676
609	1054	674
610	1056	672
611	1057	670
612	1059	668
613	1061	667
614	1062	665
615	1064	663
616	1066	661
617	1068	660
618	1069	658
619	1070	656
620	1072	654
621	1074	652
622	1076	651
623	1077	649
624	1079	647
625	1080	645
626	1082	643
627	1084	642
628	1085	640
629	1087	638
630	1089	637
631	1090	635
632	1092	633
633	1093	631
634	1095	629
635	1097	627
636	1098	626
637	1101	624
638	1102	623
639	1104	621
640	1106	619
641	1107	617
642	1109	616
643	1111	614
644	1112	612
645	1114	610
646	1115	608
647	1117	607
648	1119	605
649	1120	603
650	1122	601
651	1124	599
652	1125	598
653	1127	596
654	1129	594
655	1130	592
656	1132	591
657	1133	589
658	1135	587
659	1136	585
660	1138	583
661	1140	582
662	1141	580
663	1143	578
664	1144	576
665	1146	574
666	1147	573
667	1149	571
668	1151	569
669	1152	567
670	1154	566
671	1156	564
672	1157	562
673	1159	560
674	1160	558
675	1162	557
676	1164	555
677	1166	553
678	1167	552
679	1169	550
680	1170	548
681	1172	546
682	1174	544
683	1175	543
684	1177	541
685	1179	539
686	1180	538
687	1182	536
688	1184	534
689	1185	532
690	1187	531
691	1189	529
692	1190	527
693	1192	525
694	1194	524
695	1195	522
696	1197	520
697	1199	518
698	1200	517
699	1202	515
700	1204	513
701	1205	511
702	1207	510
703	1208	508
704	1210	506
705	1211	504
706	1213	502
707	1215	501
708	1216	499
709	1218	497
710	1220	495
711	1221	494
712	1223	492
713	1224	490
714	1226	488
715	1228	487
716	1229	485
717	1231	483
718	1232	481
719	1234	480
720	1236	478
721	1238	476
722	1239	474
723	1241	473
724	1243	471
725	1245	469
726	1246	468
727	1248	466
728	1249	464
729	1251	462
730	1253	461
731	1254	459
732	1256	457
733	1257	455
734	1259	454
735	1261	452
736	1263	450
737	1264	448
738	1266	447
739	1267	445
740	1269	443
741	1271	441
742	1272	440
743	1274	438
744	1275	436
745	1277	434
746	1278	433
747	1280	431
748	1282	429
749	1283	427
750	1285	426
751	1286	424
752	1288	422
753	1290	420
754	1291	419
755	1293	417
756	1295	415
757	1296	413
758	1298	412
759	1299	410
760	1301	408
761	1303	407
762	1304	405
763	1306	403
764	1307	401
765	1309	399
766	1310	398
767	1312	396
768	1314	394
769	1316	393
770	1317	391
771	1319	389
772	1321	387
773	1322	386
774	1324	384
775	1325	382
776	1327	381
777	1329	379
778	1330	377
779	1332	375
780	1334	374
781	1335	372
782	1337	370
783	1338	368
784	1340	367
785	1342	365
786	1343	363
787	1345	362
788	1347	360
789	1349	358
790	1350	356
791	1352	355
792	1354	353
793	1356	351
794	1357	350
795	1360	348
796	1361	346
797	1363	345
798	1365	343
799	1366	341
800	1368	339
801	1369	338
802	1371	336
803	1373	334
804	1375	333
805	1376	331
806	1378	329
807	1380	328
808	1381	326
809	1383	324
810	1385	322
811	1386	321
812	1388	319
813	1389	317
814	1391	315
815	1393	314
816	1394	312
817	1396	310
818	1397	308
819	1399	307
820	1401	305
821	1402	303
822	1404	302
823	1405	300
824	1407	298
825	1408	296
826	1410	295
827	1411	293
828	1413	291
829	1415	289
830	1416	288
831	1418	286
832	1419	284
833	1421	282
834	1422	281
835	1424	279
836	1425	277
837	1427	275
838	1429	274
839	1430	272
840	1432	270
841	1434	269
842	1435	267
843	1437	265
844	1438	263
845	1440	262
846	1442	260
847	1444	258
848	1445	257
849	1447	255
850	1449	253
851	1451	252
852	1452	250
853	1454	248
854	1456	246
855	1457	245
856	1459	243
857	1461	241
858	1462	240
859	1464	238
860	1465	236
861	1467	234
862	1469	233
863	1470	231
864	1472	229
865	1474	228
866	1476	226
867	1477	224
868	1479	222
869	1480	221
870	1482	219
871	1484	217
872	1485	216
873	1487	214
874	1488	212
875	1490	210
876	1491	209
877	1493	207
878	1495	205
879	1496	204
880	1498	202
881	1500	200
882	1501	198
883	1503	197
884	1505	195
885	1506	193
886	1508	192
887	1509	190
888	1511	188
889	1513	187
890	1514	185
891	1516	183
892	1518	181
893	1519	180
894	1521	178
895	1522	176
896	1524	175
897	1526	173
898	1527	171
899	1529	169
900	1531	168
901	1532	166
902	1534	164
903	1535	163
904	1537	161
905	1538	159
906	1540	157
907	1542	156
908	1544	154
909	1545	152
910	1547	151
911	1548	149
912	1550	147
913	1552	146
914	1553	144
915	1555	142
916	1556	140
917	1558	139
918	1559	137
919	1561	135
920	1562	134
921	1564	132
922	1566	130
923	1567	128
924	1569	127
925	1570	125
926	1572	123
927	1573	122
928	1575	120
929	1577	118
930	1578	116
931	1579	115
932	1581	113
933	1583	111
934	1584	110
935	1586	108
936	1588	106
937	1589	105
938	1591	103
939	1592	101
940	1594	99
941	1595	98
942	1597	96
943	1599	94
944	1600	93
945	1602	91
946	1603	89
947	1605	88
948	1607	86
949	1608	84
950	1610	82
951	1611	81
952	1613	79
953	1615	77
954	1616	76
955	1618	74
956	1620	72
957	1621	71
958	1623	69
959	1624	67
960	1626	66
961	1628	64
962	1629	62
963	1631	60
964	1633	59
965	1634	57
966	1636	55
967	1637	54
968	1639	52
969	1640	50
970	1642	49
971	1643	47
972	1645	45
973	1647	43
974	1648	42
975	1650	40
976	1651	38
977	1653	37
978	1655	35
979	1656	33
980	1658	32
981	1659	30
982	1661	28
983	1663	27
984	1664	25
985	1666	23
986	1667	21
987	1669	20
988	1670	18
989	1672	16
990	1674	15
991	1675	13
992	1677	11
993	1679	10
994	1680	8
995	1682	6
996	1684	5
997	1685	3
998	1687	1
999	1689	0
