iter	RMSE
317	0.1298532012
318	0.1298339145
319	0.1298202461
320	0.1297994341
321	0.1297736173
322	0.1297572474
323	0.1297393996
324	0.1297208981
325	0.1296948343
326	0.1296728554
327	0.1296547878
328	0.1296437945
329	0.129617283
330	0.1296085396
331	0.1295951867
332	0.1295708304
333	0.1295547441
334	0.1295322192
335	0.1295109083
336	0.1294975837
337	0.1294824305
338	0.129456689
339	0.1294319581
340	0.129413701
341	0.1293905095
342	0.1293748625
343	0.1293525367
344	0.1293355569
345	0.1293227103
346	0.1292976619
347	0.1292762381
348	0.1292536736
349	0.1292389549
350	0.1292230199
351	0.1292103023
352	0.12919363
353	0.1291703671
354	0.129155684
355	0.1291418223
356	0.1291235293
357	0.1290999724
358	0.1290870111
359	0.1290674621
360	0.1290522405
361	0.1290236628
362	0.1290036071
363	0.1289855175
364	0.1289654455
365	0.128948656
366	0.128926593
367	0.1289154943
368	0.1289002615
369	0.128880176
370	0.1288639699
371	0.1288496856
372	0.1288337425
373	0.1288053778
374	0.1287827478
375	0.1287633363
376	0.1287485892
377	0.1287311541
378	0.1287186996
379	0.1287042675
380	0.1286881418
381	0.1286765696
382	0.1286651434
383	0.128653686
384	0.1286373301
385	0.1286246421
386	0.1286040051
387	0.1285833235
388	0.1285513933
389	0.1285394133
390	0.1285235653
391	0.1285100566
392	0.1284803296
393	0.1284602093
394	0.1284436461
395	0.1284244429
396	0.1284095671
397	0.128393308
398	0.1283725436
399	0.1283542716
400	0.1283372122
401	0.1283217981
402	0.1283081033
403	0.1282923595
404	0.1282747676
405	0.1282639012
406	0.1282475943
407	0.1282325448
408	0.1282199577
409	0.1282034259
410	0.1281856461
411	0.1281668764
412	0.1281518478
413	0.128125042
414	0.1281116636
415	0.1280990997
416	0.1280705151
417	0.1280528864
418	0.1280382634
419	0.1280223295
420	0.1280037495
421	0.1279842162
422	0.1279678135
423	0.1279575379
424	0.1279281671
425	0.127907392
426	0.1278784353
427	0.1278628209
428	0.1278439595
429	0.1278178618
430	0.1278011612
431	0.1277895633
432	0.1277718007
433	0.1277563176
434	0.1277400568
435	0.1277222595
436	0.1277098037
437	0.1276918095
438	0.1276779788
439	0.1276588576
440	0.1276438606
441	0.1276241938
442	0.1276066209
443	0.1275927635
444	0.1275785601
445	0.127556778
446	0.12753172
447	0.1275164401
448	0.127505095
449	0.1274812101
450	0.1274601567
451	0.1274468136
452	0.1274258799
453	0.1274088233
454	0.1273925372
455	0.1273836334
456	0.1273668759
457	0.1273491289
458	0.1273335445
459	0.1273171974
460	0.1273029599
461	0.1272754268
462	0.1272607573
463	0.1272484183
464	0.1272321589
465	0.12720274
466	0.1271823743
467	0.1271711106
468	0.1271545113
469	0.1271276603
470	0.1271121948
471	0.1270893345
472	0.1270738448
473	0.127056707
474	0.127033003
475	0.1270194503
476	0.1269996215
477	0.12698377
478	0.1269642844
479	0.1269482432
480	0.1269334858
481	0.1269154639
482	0.1269007134
483	0.1268849219
484	0.126861293
485	0.1268358346
486	0.1268208689
487	0.1268112147
488	0.1267989134
489	0.1267790698
490	0.126762926
491	0.1267406109
492	0.126716648
493	0.1267016948
494	0.1266788753
495	0.1266538697
496	0.1266400597
497	0.1266272111
498	0.1266155662
499	0.1266043542
500	0.1265766187
501	0.1265501575
502	0.1265250058
503	0.1265080725
504	0.1264839353
505	0.1264647319
506	0.1264473681
507	0.1264273587
508	0.1264063005
509	0.1263942582
510	0.1263788913
511	0.1263623562
512	0.1263488547
513	0.1263332511
514	0.1263200163
515	0.1263066703
516	0.1262959179
517	0.1262775109
518	0.1262622907
